euSurfaceWaterBodyCode,cArea,cLength
FRFC03,157.818,
FRFC06,148.509,
FRFL45,0.481,
FRFL60,1.55,
FRFL68,4.508,
FRFL74,10.854,
FRFL75,31.924,
FRFR140,,41.313
FRFR147,,41.691
FRFR148B,,31.588
FRFR186,,53.067
FRFR192,,61.047
FRFR204,,63.782
FRFR213B,,10.926
FRFR215B,,80.979
FRFR218,,41.534
FRFR229,,31.193
FRFR235A,,57.806
FRFR239,,102.061
FRFR249,,14.382
FRFR270,,33.479
FRFR29,,49.036
FRFR304,,57.557
FRFR318C,,11.141
FRFR324A,,8.543
FRFR33,,36.955
FRFR338,,41.127
FRFR349A,,7.061
FRFR374,,9.559
FRFR380,,18.088
FRFR42B,,23.623
FRFR451,,12.882
FRFR479,,7.149
FRFR507,,26.533
FRFR512,,9.324
FRDR10781,,28.144
FRDR10783,,13.295
FRDR10787,,8.256
FRDR10788,,16.251
FRDR10798,,8.074
FRDR10816,,24.562
FRDR10834,,33.997
FRDR10861,,8.655
FRDR10862,,11.515
FRDR10897,,11.856
FRDR10926,,5.276
FRDR10960,,6.998
FRDR10961,,8.004
FRDR10991,,8.315
FRDR10998,,11.991
FRDR11019,,6.206
FRDR11022,,10.558
FRDR11041,,11.347
FRDR11057,,8.033
FRDR11114,,10.024
FRDR11136,,4.744
FRDR11180,,8.233
FRDR11182,,26.412
FRDR112,,12.689
FRDR11230,,5.843
FRDR11270,,5.731
FRDR11275,,8.807
FRDR11291,,10.932
FRDR11330,,42.692
FRDR11338,,14.276
FRDR11342,,8.157
FRDR11377,,8.941
FRDR11383,,8.505
FRDR11396,,6.087
FRDR11408,,19.464
FRDR11431,,3.562
FRDR11496,,40.296
FRDR11530,,5.816
FRDR11545,,8.354
FRDR11549,,26.579
FRDR11592,,5.361
FRDR11596,,11.388
FRDR11621,,11.758
FRDR11651,,3.417
FRDR11661,,6.292
FRDR11699,,14.705
FRDR116A,,5.166
FRDR11705,,6.148
FRDR11710,,6.636
FRDR11713,,6.427
FRDR11723,,9.346
FRDR11727,,23.699
FRDR11732,,6.398
FRDR11737,,10.304
FRDR11779,,15.103
FRDR11785,,21.332
FRDR11786,,5.585
